"HasName","Weekday","OutcomeType","OutcomeSubtype","AnimalType","SexUponOutcome","DaysUponOutcome","Breed","Color1","Color2","IsMixedColor"
"true",3,"Return_to_owner",,"Dog","neuteredmale",365,"mixed","brown","white","true"
"true",0,"Euthanasia","Suffering","Cat","spayedfemale",365,"mixed","creamtabby",,"false"
"true",6,"Adoption","Foster","Dog","neuteredmale",730,"mixed","blue","white","true"
"false",5,"Transfer","Partner","Cat","intactmale",21,"mixed","bluecream",,"false"
"false",5,"Transfer","Partner","Dog","neuteredmale",730,"mixed","tan",,"false"
"true",5,"Transfer","Partner","Dog","intactfemale",30,"mixed","black","tan","true"
"true",6,"Transfer","Partner","Cat","intactmale",21,"mixed","bluetabby",,"false"
"false",4,"Transfer","Partner","Cat","unknown",21,"mixed","browntabby",,"false"
"true",2,"Adoption",,"Dog","spayedfemale",150,"mixed","red","white","true"
"false",6,"Adoption","Offsite","Dog","spayedfemale",365,"cairnterrier","white",,"false"
"false",4,"Transfer","SCRP","Cat","unknown",730,"mixed","black",,"false"
"false",1,"Adoption",,"Dog","spayedfemale",730,"mixed","silver",,"false"
"true",3,"Adoption","Foster","Dog","neuteredmale",1460,"mixed","brown",,"false"
"true",1,"Return_to_owner",,"Dog","neuteredmale",730,"mixed","black","red","true"
"true",3,"Return_to_owner",,"Dog","neuteredmale",365,"mixed","cream","white","true"
"true",6,"Adoption","Foster","Cat","neuteredmale",90,"mixed","orangetabby","white","true"
"false",6,"Transfer","Partner","Cat","intactmale",21,"mixed","browntabby",,"false"
"false",6,"Transfer","Partner","Dog","intactfemale",14,"mixed","brown","white","true"
"true",6,"Transfer","Partner","Cat","intactfemale",730,"mixed","white",,"false"
"true",3,"Return_to_owner",,"Dog","neuteredmale",365,"mixed","black",,"false"
"true",0,"Transfer","Partner","Dog","intactmale",60,"mixed","black","white","true"
"true",5,"Transfer","Partner","Cat","spayedfemale",365,"mixed","white",,"false"
"true",6,"Adoption",,"Dog","spayedfemale",730,"mixed","brownbrindle","white","true"
"true",1,"Adoption",,"Dog","neuteredmale",300,"mixed","brown","white","true"
"true",3,"Return_to_owner",,"Dog","neuteredmale",60,"mixed","black","brown","true"
"true",6,"Transfer","Partner","Cat","intactfemale",30,"mixed","orangetabby",,"false"
"true",5,"Adoption",,"Dog","spayedfemale",180,"mixed","chocolate","white","true"
"true",3,"Adoption",,"Dog","spayedfemale",1825,"mixed","tan","white","true"
"true",6,"Adoption",,"Cat","spayedfemale",60,"mixed","creamtabby","white","true"
"true",4,"Return_to_owner",,"Cat","neuteredmale",2555,"mixed","blue",,"false"
"false",5,"Euthanasia","Suffering","Cat","spayedfemale",1095,"mixed","calico",,"false"
"true",3,"Transfer","Partner","Dog","intactmale",120,"mixed","black","white","true"
